2023-05-23-15-48: using tensorboard
2023-05-23-15-48: Get lr 3e-06 from base lr 3e-06 with none
2023-05-23-15-48: {'overall': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}, 'transformer': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}}
2023-05-23-15-48: Distributed, begin DDP the model...
2023-05-23-15-48: Distributed, DDP model done!
2023-05-23-15-48: Libritts: global rank 0: prepare solver done!
2023-05-23-15-48: Libritts: global rank 0: start training...
2023-05-23-16-36: Libritts: train: Epoch 0/500 iter 3600/11015 || | dur_loss: 0.1117 | loss: 10.4292 | vqdiff loss: 10.3175 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 47m:53s | spend_time: 47m:53s | left_time: 50d:19h:48m:01s
2023-05-23-16-40: using tensorboard
2023-05-23-16-40: Get lr 3e-06 from base lr 3e-06 with none
2023-05-23-16-40: {'overall': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}, 'transformer': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}}
2023-05-23-16-40: Distributed, begin DDP the model...
2023-05-23-16-40: Distributed, DDP model done!
2023-05-23-16-40: Libritts: global rank 0: prepare solver done!
2023-05-23-16-40: Resume from OUTPUT/Libritts/checkpoint/last.pth
2023-05-23-16-40: Libritts: global rank 0: start training...
2023-05-23-16-42: Libritts: train: Epoch 11/500 iter 8350/11015 || | dur_loss: 0.0709 | loss: 2.9217 | vqdiff loss: 2.8508 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 01m:41s | spend_time: 01m:41s | left_time: 01h:17m:11s
2023-05-23-16-43: Libritts: train: Epoch 11/500 iter 8450/11015 || | dur_loss: 0.0857 | loss: 2.9825 | vqdiff loss: 2.8967 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 03m:00s | spend_time: 03m:00s | left_time: 02h:16m:51s
2023-05-23-16-45: Libritts: train: Epoch 11/500 iter 8550/11015 || | dur_loss: 0.0727 | loss: 21.2299 | vqdiff loss: 21.1572 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 04m:22s | spend_time: 04m:22s | left_time: 03h:18m:27s
2023-05-23-16-46: Libritts: train: Epoch 11/500 iter 8650/11015 || | dur_loss: 0.0883 | loss: 3.3730 | vqdiff loss: 3.2846 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 05m:41s | spend_time: 05m:41s | left_time: 04h:18m:19s
2023-05-23-16-47: Libritts: train: Epoch 11/500 iter 8750/11015 || | dur_loss: 0.0695 | loss: 2.3078 | vqdiff loss: 2.2384 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.9s | iter_time: 0.9s | iter_avg_time: 0.0s | epoch_time: 07m:10s | spend_time: 07m:10s | left_time: 05h:24m:50s
2023-05-23-16-49: Libritts: train: Epoch 11/500 iter 8850/11015 || | dur_loss: 0.0834 | loss: 2.6879 | vqdiff loss: 2.6045 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 08m:28s | spend_time: 08m:28s | left_time: 06h:23m:42s
2023-05-23-16-50: Libritts: train: Epoch 11/500 iter 8950/11015 || | dur_loss: 0.0855 | loss: 1.9414 | vqdiff loss: 1.8559 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 09m:48s | spend_time: 09m:48s | left_time: 07h:23m:52s
2023-05-23-16-51: Libritts: train: Epoch 11/500 iter 9050/11015 || | dur_loss: 0.0745 | loss: 2.1487 | vqdiff loss: 2.0742 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 11m:07s | spend_time: 11m:07s | left_time: 08h:22m:39s
2023-05-23-16-53: Libritts: train: Epoch 11/500 iter 9150/11015 || | dur_loss: 0.0874 | loss: 3.5568 | vqdiff loss: 3.4694 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 12m:26s | spend_time: 12m:26s | left_time: 09h:21m:49s
2023-05-23-16-54: Libritts: train: Epoch 11/500 iter 9250/11015 || | dur_loss: 0.0776 | loss: 2.5904 | vqdiff loss: 2.5128 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 13m:44s | spend_time: 13m:44s | left_time: 10h:20m:10s
2023-05-23-16-55: Libritts: train: Epoch 11/500 iter 9350/11015 || | dur_loss: 0.0784 | loss: 2.2760 | vqdiff loss: 2.1975 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 15m:02s | spend_time: 15m:02s | left_time: 11h:18m:20s
2023-05-23-16-57: Libritts: train: Epoch 11/500 iter 9450/11015 || | dur_loss: 0.0719 | loss: 2.2754 | vqdiff loss: 2.2035 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 16m:22s | spend_time: 16m:22s | left_time: 12h:17m:57s
2023-05-23-16-58: Libritts: train: Epoch 11/500 iter 9550/11015 || | dur_loss: 0.0875 | loss: 3.5920 | vqdiff loss: 3.5045 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 17m:42s | spend_time: 17m:42s | left_time: 13h:17m:15s
2023-05-23-16-59: Libritts: train: Epoch 11/500 iter 9650/11015 || | dur_loss: 0.1071 | loss: 2.3641 | vqdiff loss: 2.2571 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 19m:01s | spend_time: 19m:01s | left_time: 14h:15m:47s
2023-05-23-17-01: Libritts: train: Epoch 11/500 iter 9750/11015 || | dur_loss: 0.0840 | loss: 2.5901 | vqdiff loss: 2.5061 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 20m:21s | spend_time: 20m:21s | left_time: 15h:14m:27s
2023-05-23-17-02: Libritts: train: Epoch 11/500 iter 9850/11015 || | dur_loss: 0.0796 | loss: 1.8309 | vqdiff loss: 1.7514 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.5s | iter_time: 0.5s | iter_avg_time: 0.0s | epoch_time: 21m:41s | spend_time: 21m:41s | left_time: 16h:13m:33s
2023-05-23-17-03: Libritts: train: Epoch 11/500 iter 9950/11015 || | dur_loss: 0.0672 | loss: 2.2497 | vqdiff loss: 2.1825 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 22m:59s | spend_time: 22m:59s | left_time: 17h:11m:42s
2023-05-23-17-05: Libritts: train: Epoch 11/500 iter 10050/11015 || | dur_loss: 0.0822 | loss: 3.0997 | vqdiff loss: 3.0175 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 24m:19s | spend_time: 24m:19s | left_time: 18h:10m:07s
2023-05-23-17-06: Libritts: train: Epoch 11/500 iter 10150/11015 || | dur_loss: 0.0709 | loss: 2.8114 | vqdiff loss: 2.7405 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.8s | iter_time: 0.8s | iter_avg_time: 0.0s | epoch_time: 25m:39s | spend_time: 25m:39s | left_time: 19h:09m:21s
2023-05-23-17-07: Libritts: train: Epoch 11/500 iter 10250/11015 || | dur_loss: 0.0796 | loss: 2.5002 | vqdiff loss: 2.4207 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 26m:59s | spend_time: 26m:59s | left_time: 20h:07m:36s
2023-05-23-17-09: Libritts: train: Epoch 11/500 iter 10350/11015 || | dur_loss: 0.0773 | loss: 2.9915 | vqdiff loss: 2.9142 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.8s | iter_time: 0.8s | iter_avg_time: 0.0s | epoch_time: 28m:18s | spend_time: 28m:18s | left_time: 21h:05m:41s
2023-05-23-17-10: Libritts: train: Epoch 11/500 iter 10450/11015 || | dur_loss: 0.0738 | loss: 2.8403 | vqdiff loss: 2.7666 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 29m:37s | spend_time: 29m:37s | left_time: 22h:03m:06s
2023-05-23-17-11: Libritts: train: Epoch 11/500 iter 10550/11015 || | dur_loss: 0.0864 | loss: 2.2110 | vqdiff loss: 2.1246 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 30m:55s | spend_time: 30m:55s | left_time: 23h:00m:06s
2023-05-23-17-13: Libritts: train: Epoch 11/500 iter 10650/11015 || | dur_loss: 0.0751 | loss: 1.8483 | vqdiff loss: 1.7731 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.5s | iter_time: 0.5s | iter_avg_time: 0.0s | epoch_time: 32m:14s | spend_time: 32m:14s | left_time: 23h:57m:29s
2023-05-23-17-14: Libritts: train: Epoch 11/500 iter 10750/11015 || | dur_loss: 0.0796 | loss: 2.3719 | vqdiff loss: 2.2924 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 33m:33s | spend_time: 33m:33s | left_time: 1d:00h:54m:48s
2023-05-23-17-15: Libritts: train: Epoch 11/500 iter 10850/11015 || | dur_loss: 0.0806 | loss: 2.6446 | vqdiff loss: 2.5640 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.0s | epoch_time: 34m:55s | spend_time: 34m:55s | left_time: 1d:01h:54m:34s
2023-05-23-17-17: Libritts: train: Epoch 11/500 iter 10950/11015 || | dur_loss: 0.0857 | loss: 3.3142 | vqdiff loss: 3.2285 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 36m:14s | spend_time: 36m:14s | left_time: 1d:02h:51m:56s
2023-05-23-17-18: Libritts: train: Epoch 11/500 iter 35/11015 || | dur_loss: 0.0793 | loss: 2.5027 | vqdiff loss: 2.4234 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 37m:32s | spend_time: 37m:32s | left_time: 1d:03h:48m:32s
2023-05-23-17-19: Libritts: train: Epoch 11/500 iter 135/11015 || | dur_loss: 0.0723 | loss: 2.6177 | vqdiff loss: 2.5454 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 38m:51s | spend_time: 38m:51s | left_time: 1d:04h:45m:15s
2023-05-23-17-20: Libritts: train: Epoch 11/500 iter 235/11015 || | dur_loss: 0.0820 | loss: 2.1215 | vqdiff loss: 2.0395 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 40m:11s | spend_time: 40m:11s | left_time: 1d:05h:43m:10s
2023-05-23-17-22: Libritts: train: Epoch 11/500 iter 335/11015 || | dur_loss: 0.0678 | loss: 2.3278 | vqdiff loss: 2.2601 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.8s | iter_time: 0.8s | iter_avg_time: 0.0s | epoch_time: 41m:37s | spend_time: 41m:37s | left_time: 1d:06h:45m:21s
2023-05-23-17-23: Libritts: train: Epoch 11/500 iter 435/11015 || | dur_loss: 0.0802 | loss: 2.0797 | vqdiff loss: 1.9994 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.0s | epoch_time: 42m:57s | spend_time: 42m:57s | left_time: 1d:07h:42m:43s
